Data;SKU;Preco;Log_Preco;Quarta-feira;Terça-feira;previsao_TSCV;previsao_SARIMAX
2025-10-07;67020;58,78;4,073801660990771;0;1;0,24142272678727467;0,027059453605173953
2025-10-08;67020;61,87;4,125035409542898;1;0;0,30802487515034155;0,025130986826992417
2025-10-09;67020;61,87;4,125035409542898;0;0;0,2887546452003375;0,02131999326680014
2025-10-10;67020;61,87;4,125035409542898;0;0;0,2887546452003375;0,01816668054897467
2025-10-11;67020;58,78;4,073801660990771;0;0;0,2378547626028333;0,01621535793150243
2025-10-12;67020;61,87;4,125035409542898;0;0;0,2887546452003375;0,022591472664890606
2025-10-13;67020;61,87;4,125035409542898;0;0;0,2887546452003375;0,024732190232557356
2025-10-14;67020;55,84;4,022490458454117;0;1;0,19880793102163288;0,02621623501015302
2025-10-15;67020;58,78;4,073801660990771;1;0;0,25372815562437306;0,024347987314966294
2025-10-16;67020;58,78;4,073801660990771;0;0;0,2378547626028333;0,0206557328339156
2025-10-17;67020;58,78;4,073801660990771;0;0;0,2378547626028333;0,017600666905418803
2025-10-18;67020;61,87;4,125035409542898;0;0;0,2887546452003375;0,01579571861133889
2025-10-19;67020;61,87;4,125035409542898;0;0;0,2887546452003375;0,02194713016326754
2025-10-20;67020;61,87;4,125035409542898;0;0;0,2887546452003375;0,02402679127359536
2025-10-21;67020;61,87;4,125035409542898;0;1;0,29308613817063467;0,025607348117294253
2025-10-22;67020;61,87;4,125035409542898;1;0;0,30802487515034155;0,02371788263212981
2025-10-23;67020;61,87;4,125035409542898;0;0;0,2887546452003375;0,020121180477769715
2025-10-24;67020;61,87;4,125035409542898;0;0;0,2887546452003375;0,017145176991810784
2025-10-25;67020;61,87;4,125035409542898;0;0;0,2887546452003375;0,015345201145034657
2025-10-26;67020;58,78;4,073801660990771;0;0;0,2378547626028333;0,021263330257439216
2025-10-27;67020;61,87;4,125035409542898;0;0;0,2887546452003375;0,023341511331964035
2025-10-28;67020;61,87;4,125035409542898;0;1;0,29308613817063467;0,0248769883358602
2025-10-29;67020;50,32;3,918402612392185;1;0;0,14090501845386913;0,022790371985762004
2025-09-30;103975;29,05;3,3690184832979204;0;1;1,6347812393467758;0,3289320716516574
2025-10-01;103975;30,52;3,4183822064162563;1;0;1,1802092345131998;0,5012139117869369
2025-10-02;103975;30,9;3,4307561839036995;0;0;1,332115166258615;0,4533586403694946
2025-10-03;103975;29,37;3,379973745210529;0;0;1,433329211634316;0,7922267567393794
2025-10-04;103975;30,9;3,4307561839036995;0;0;1,332115166258615;0,3217292303432764
2025-10-05;103975;29,36;3,3796332037463146;0;0;1,434033270417118;0,5329723841335995
2025-10-06;103975;30,39;3,414113606928702;0;0;1,3644723398670593;0,9045672553306995
2025-10-07;103975;28,59;3,3530570063342204;0;1;1,6728463271753882;0,6862745967018477
2025-10-08;103975;30,13;3,40552135314221;1;0;1,2023019251209404;0,6635868754060363
2025-10-09;103975;30,9;3,4307561839036995;0;0;1,332115166258615;0,578956876205909
2025-10-10;103975;30,39;3,414113606928702;0;0;1,3644723398670593;0,8858328557024548
2025-10-11;103975;29,36;3,3796332037463146;0;0;1,434033270417118;0,412232676263297
2025-10-12;103975;30,9;3,4307561839036995;0;0;1,332115166258615;0,6182329455484797
2025-10-13;103975;30,9;3,4307561839036995;0;0;1,332115166258615;0,4908000980892308
2025-10-14;103975;29,36;3,3796332037463146;0;1;1,6099479148268172;0,6126835241132865
2025-10-15;103975;30,54;3,4190372997904865;1;0;1,179094828563731;0,631826143526117
2025-10-16;103975;30,9;3,4307561839036995;0;0;1,332115166258615;0,5561297519460054
2025-10-17;103975;30,9;3,4307561839036995;0;0;1,332115166258615;0,8597009873046196
2025-10-18;103975;30,9;3,4307561839036995;0;0;1,332115166258615;0,3898234122319726
2025-10-19;103975;28,9;3,3638415951183864;0;0;1,4670646200715884;0,6139904400906068
2025-10-20;103975;28,9;3,3638415951183864;0;0;1,4670646200715884;0,5397055213186693
2025-10-21;103975;28,9;3,3638415951183864;0;1;1,6470312612157487;0,6196141180890323
2025-10-22;103975;28,9;3,3638415951183864;1;0;1,2767823408309522;0,6425705771547314
2025-10-23;103975;28,9;3,3638415951183864;0;0;1,4670646200715884;0,5675527064885673
2025-10-24;103975;27,94;3,330059353828816;0;0;1,5403041583820356;0,8857175648359003
2025-10-25;103975;28,9;3,3638415951183864;0;0;1,4670646200715884;0,3977318973895812
2025-10-26;103975;28,9;3,3638415951183864;0;0;1,4670646200715884;0,6115387508244309
2025-10-27;103975;28,9;3,3638415951183864;0;0;1,4670646200715884;0,5303692303201054
2025-10-28;103975;28,9;3,3638415951183864;0;1;1,6470312612157487;0,6142399459893182
2025-10-29;103975;28,42;3,3470931226689546;1;0;1,307995203085669;0,6413382463384139
2025-09-30;2960;43,05;3,7623622308737397;0;1;2,508549063153123;0,05251847437682336
2025-10-01;2960;42,62;3,752323626670471;1;0;2,3056733327819665;0,06286677356261781
2025-10-02;2960;40,51;3,701548857214599;0;0;2,655388209164699;0,06619767413650786
2025-10-03;2960;39,89;3,686125665917315;0;0;2,7389661306586195;0,07853096786593375
2025-10-04;2960;40,36;3,6978391954854084;0;0;2,6752548530669973;0,05734803158984232
2025-10-05;2960;40,9;3,711130063048756;0;0;2,6047571389543793;0,08748178308289123
2025-10-06;2960;43,05;3,7623622308737397;0;0;2,349962016365671;0,09989343112209853
2025-10-07;2960;40,25;3,6951100038645723;0;1;2,871497710128481;0,08780471068084267
2025-10-08;2960;43,05;3,7623622308737397;1;0;2,2596327184477145;0,08437152823089802
2025-10-09;2960;43,05;3,7623622308737397;0;0;2,349962016365671;0,09235224567494932
2025-10-10;2960;41,28;3,720378121173307;0;0;2,556802392382035;0,10320630722274936
2025-10-11;2960;40,22;3,6943643843445058;0;0;2,693998580046519;0,07356091208125025
2025-10-12;2960;40,93;3,7118632905043114;0;0;2,6009224629135446;0,07237429309822542
2025-10-13;2960;41,33;3,721588628523641;0;0;2,5505911404599515;0,08098806267109666
2025-10-14;2960;40,9;3,711130063048756;0;1;2,780539019422455;0,08216695933051105
2025-10-15;2960;42,19;3,7421832261362473;1;0;2,3531332935684874;0,07942070326836115
2025-10-16;2960;43,05;3,7623622308737397;0;0;2,349962016365671;0,08736113796786352
2025-10-17;2960;43,05;3,7623622308737397;0;0;2,349962016365671;0,09932587834312318
2025-10-18;2960;43,05;3,7623622308737397;0;0;2,349962016365671;0,0714544256614363
2025-10-19;2960;42,97;3,7605021977869035;0;0;2,35876106909222;0,0721072240474488
2025-10-20;2960;42,9;3,758871825933971;0;0;2,366500780468909;0,08043318710741508
2025-10-21;2960;42,9;3,758871825933971;0;1;2,526203944767359;0,08114743003457092
2025-10-22;2960;42,9;3,758871825933971;1;0;2,2755357552755866;0,07755444564217488
2025-10-23;2960;42,72;3,7546671946519394;0;0;2,3865784356633424;0,08464884322500726
2025-10-24;2960;42,58;3,7513846594653333;0;0;2,402371292518793;0,09611474554511044
2025-10-25;2960;42,58;3,7513846594653333;0;0;2,402371292518793;0,06914004547834515
2025-10-26;2960;42,58;3,7513846594653333;0;0;2,402371292518793;0,06965524165246957
2025-10-27;2960;42,58;3,7513846594653333;0;0;2,402371292518793;0,0777362731137659
2025-10-28;2960;42,58;3,7513846594653333;0;1;2,5644951761876538;0,0784772380986923
2025-10-29;2960;39,86;3,685373314784649;1;0;2,637668379908798;0,07342695323275482
2025-09-30;67019;101,12;4,6163079303985475;0;1;0,2467992836624092;0,060610244708775816
