sku;data_rodagem;intercepto_tscv;coef_log_preco_tscv;coef_quarta-feira_tscv;coef_terça-feira_tscv;coef_log_preco_sarimax;AIC_sarimax;BIC_sarimax;AIC_cruzado;BIC_cruzado
17526;29/09/2025 16:38;36,84658206;-5,570090536;0,090738844;0,354018419;-0,196060324;3588,137979;3618,040719;1894,646437;1911,150025
58701;29/09/2025 16:39;47,39967257;-7,259383161;0,183068824;-0,166069888;-2,004692131;4461,21741;4491,125708;2341,81094;2358,325915
92455;29/09/2025 16:39;15,03782398;-2,437510074;0,344710667;0,280791928;-1,510132726;550,8694158;573,7182707;144,7931813;152,6614693
71913;29/09/2025 16:39;10,1841506;-1,67023363;0,122376307;-0,030804677;-0,372534532;1926,597611;1956,500351;605,4307843;618,675189
59036;29/09/2025 16:39;29,32233995;-7,078356531;0,163149389;0,143765104;-4,515292429;4839,902733;4869,805473;2647,359401;2663,86299
45268;29/09/2025 16:39;14,21977742;-4,446120581;0,015898741;0,247898266;-1,187525049;3780,755028;3810,663326;2461,341018;2477,855992
51314;29/09/2025 16:39;-24,92063024;6,047176107;0,119513819;0,212424513;-1,103044813;3613,552901;3643,461199;2815,066663;2831,581638
67291;29/09/2025 16:39;6,858106227;-1,881553717;0,299119118;0,082532354;5,37091962;3148,284052;3178,19235;2058,627883;2075,142857
34594;29/09/2025 16:39;15,88197666;-4,280257053;1,029026427;0,813636203;-2,106862771;5331,342423;5361,250721;2720,37817;2736,893144
54909;29/09/2025 16:39;30,6347017;-6,103979568;0,3392695;0,140197992;-9,325027749;3125,039444;3154,947742;2017,030379;2033,545353
57034;29/09/2025 16:39;60,41023576;-9,727180085;0,114966552;0,162192595;-2,341401857;4572,998909;4602,907207;2612,554966;2629,06994
78601;29/09/2025 16:40;39,47132954;-6,430050359;0,333277389;0,733097121;-4,920037556;3077,127673;3105,197726;2000,43957;2015,78318
78600;29/09/2025 16:40;30,02189854;-5,075450182;0,180934613;0,22868841;-5,484357168;3393,15429;3421,216791;2003,196716;2018,525185
25947;29/09/2025 16:40;54,88240742;-9,002717563;0,395705796;0,313178898;-2,724921213;4908,012555;4937,853813;2567,21812;2583,681914
80866;29/09/2025 16:40;-21,40157138;5,40200231;0,006394537;-0,099997666;17,69254121;1777,785738;1805,04057;1876,452837;1891,254763
78630;29/09/2025 16:40;36,42496802;-7,325006139;0,265111906;0,422379764;-4,720526344;2860,832823;2888,679916;1882,798948;1897,924193
25357;29/09/2025 16:40;36,72610152;-6,24652178;0,26210387;0,180775016;-5,443312576;3252,304453;3282,212751;1806,332351;1822,847325
25317;29/09/2025 16:40;50,97426454;-9,216447148;0,318711062;-0,146318401;-5,068747306;3709,740301;3739,581559;2382,182617;2398,646411
25343;29/09/2025 16:40;24,62709811;-4,577881946;0,411641935;0,060179719;-3,061553848;3469,920174;3499,828472;1992,282797;2008,797771
53615;29/09/2025 16:40;33,98224133;-6,299970382;0,525529966;0,321062125;-1,204894723;4448,409377;4478,317675;2223,055936;2239,57091
58269;29/09/2025 16:41;51,92963953;-8,649417374;0,043118914;-0,201543805;-0,515026291;4268,747111;4298,655409;2389,277276;2405,79225
29052;29/09/2025 16:41;28,31792556;-5,781255401;0,193238189;0,172830696;-5,480737018;2269,494896;2299,403194;1197,257414;1213,772388
64134;29/09/2025 16:41;31,05636963;-5,284391635;0,182304559;0,193741215;-5,873156651;1843,789215;1873,697513;1101,536825;1118,051799
77485;29/09/2025 16:41;14,52987012;-2,566744668;0,397981975;0,443015007;-2,649487384;2676,875542;2705,232943;1398,480255;1413,957289
71248;29/09/2025 16:41;24,57247834;-4,961005256;0,428754808;0,512862854;-3,526724174;3223,841402;3253,7497;2262,868264;2279,383238
