Data;SKU;Preco;Log_Preco;Quarta-feira;Terça-feira;previsao_TSCV;previsao_SARIMAX;previsao_total
2025-10-19;21120;60,05;4,095177548525992;0;0;51,545563642286105;13,959520048019309;65,50508369030541
2025-10-20;21120;59,76;4,090336540824562;0;0;52,492408845192024;14,797977686763229;67,29038653195525
2025-10-21;21120;59,76;4,090336540824562;0;1;60,42715249659907;17,330676913213203;77,75782940981227
2025-10-22;21120;60,05;4,095177548525992;1;0;62,67256578127084;17,23499155866552;79,90755733993636
2025-10-23;21120;57,4;4,050044303325521;0;0;61,07907201801624;19,54684626545999;80,62591828347624
2025-10-24;21120;57,25;4,047427642434349;0;0;61,682980880559725;20,441972964520726;82,12495384508046
2025-10-25;21120;56,25;4,029806041084529;0;0;65,90841402544453;22,76546036889502;88,67387439433955
2025-10-26;21120;55,85;4,02266952551521;0;0;67,70091860863977;24,224679975598544;91,92559858423832
2025-10-27;21120;55,57;4,01764348729183;0;0;68,99250603015889;25,524106965914896;94,51661299607379
2025-10-28;21120;55,46;4,015662040187632;0;1;80,01532735547987;29,945212219648088;109,96053957512795
2025-10-29;21120;55,84;4,022490458454117;1;0;82,37077538646567;29,338393317783076;111,70916870424874
2025-10-30;21120;56,59;4,035832291154432;0;0;64,43178880590563;25,783242177308995;90,21503098321462
2025-10-31;21120;54,2;3,9926809084456005;0;0;75,78181599690039;31,842775747975626;107,62459174487601
2025-10-02;80625;63,01;4,143293443953964;0;0;63,29739308582588;0,02261603949084352;63,32000912531672
2025-10-03;80625;61,29;4,11561669749764;0;0;76,22966965219655;0,14474031134497894;76,37440996354152
2025-10-04;80625;63,52;4,1513548169388805;0;0;59,961059823803545;0,2401593755027618;60,20121919930631
2025-10-05;80625;67,43;4,2110900227464905;0;0;40,14307176853736;0,25846533057522336;40,40153709911259
2025-10-06;80625;66,53;4,197652973753796;0;0;43,93483213343713;0,43792223744095365;44,372754370878084
2025-10-07;80625;65,57;4,183118274275528;0;1;70,37667168702828;0,859660133966897;71,23633182099518
2025-10-08;80625;66,93;4,203647297112551;1;0;52,26396188486777;1,017281447807249;53,28124333267502
2025-10-09;80625;62,61;4,136925009757219;0;0;66,0638272924784;2,0339376930932285;68,09776498557162
2025-10-10;80625;63,38;4,149148354262775;0;0;60,85635858268731;2,6371622756288295;63,49352085831614
2025-10-11;80625;60,88;4,1089047135534305;0;0;79,74512487908669;4,414637810635976;84,15976268972267
2025-10-12;80625;63,89;4,157162854614252;0;0;57,66684281726159;4,4519084447014405;62,11875126196303
2025-10-13;80625;66,25;4,193435464866331;0;0;45,19727263692661;4,6742082176243045;49,87148085455092
2025-10-14;80625;67,38;4,2103482379784065;0;1;58,612987576248315;6,16854676373844;64,78153433998675
2025-10-15;80625;67,84;4,2171519914836475;1;0;47,73166949330603;6,460935152793073;54,1926046460991
2025-10-16;80625;69,68;4,243913332544247;0;0;32,20022498473356;6,544201947770213;38,74442693250377
2025-10-17;80625;69,03;4,234541192715384;0;0;34,292502587154786;8,141309753410955;42,43381234056574
2025-10-18;80625;50,58;3,923556241241819;0;0;276,94918271516076;51,16302088582575;328,1122036009865
2025-10-19;80625;52,83;3,9670792111762245;0;0;206,7452282783844;46,41275081259949;253,15797909098387
2025-10-20;80625;77,71;4,352983949221151;0;0;15,47674559584127;6,498773819887092;21,975519415728364
2025-10-21;80625;89,01;4,48874872297084;0;1;9,033330418955286;4,039675440383875;13,073005859339162
2025-10-22;80625;98,9;4,594109238628667;1;0;3,7944799985652935;2,246780297303284;3,7944799985652935
2025-10-23;80625;98,9;4,594109238628667;0;0;3,0638842590568114;2,4051395568279914;3,0638842590568114
2025-10-24;80625;96,2;4,566429357671661;0;0;3,68994347298988;3,0453738489182607;3,68994347298988
2025-10-25;80625;71,88;4,274998061915358;0;0;26,13238047558918;15,982924752050229;26,13238047558918
2025-10-26;80625;73,26;4,294014757350668;0;0;22,99872378464003;15,47904191625154;22,99872378464003
2025-10-27;80625;77,28;4,347435189904263;0;0;16,06447015689935;12,36045579977435;16,06447015689935
2025-10-28;80625;79,9;4,380775852772229;0;1;18,656270407639898;12,661067099838977;18,656270407639898
2025-10-29;80625;78,83;4,367293635071817;1;0;17,410672358651333;12,748462287671764;17,410672358651333
2025-10-30;80625;79,23;4,372355014977151;0;0;13,588472643385686;12,680093540466633;13,588472643385686
2025-10-31;80625;69,79;4,245490733029061;0;0;31,860848370098232;26,359470294512462;31,860848370098232
2025-10-02;77244;85,49;4,448399410038142;0;0;8,310043288337887;21,20348342966196;21,20348342966196
2025-10-03;77244;82,54;4,413283024324436;0;0;9,415090623816198;25,330060775495163;25,330060775495163
2025-10-04;77244;85,11;4,4439445374888695;0;0;8,442708641816363;19,675920127043497;19,675920127043497
2025-10-05;77244;82,63;4,414372810713093;0;0;9,378682360092812;19,78806217575644;19,78806217575644
2025-10-06;77244;83,91;4,4297447958819784;0;0;8,879874282667785;18,04133799987787;18,04133799987787
2025-10-07;77244;84,79;4,440177611315912;0;1;10,767969267294845;19,458057689636036;19,458057689636036
2025-10-08;77244;84,43;4,435922788681409;1;0;10,445468151628017;19,11669298926226;19,11669298926226
2025-10-09;77244;90,7;4,507557357121091;0;0;6,733809978937846;11,754726332075894;11,754726332075894
2025-10-10;77244;86,77;4,463260939805398;0;0;7,882363183241479;13,764324014651377;13,764324014651377
2025-10-11;77244;76,95;4,343155860284888;0;0;12,081027677507649;21,922190119016058;21,922190119016058
2025-10-12;77244;77,55;4,350922889622548;0;0;11,751985583673918;20,82030124665514;20,82030124665514
2025-10-13;77244;76,03;4,331127999240345;0;0;12,608848223337475;22,203606871921266;22,203606871921266
2025-10-14;77244;75,71;4,326910252115215;0;1;16,107328257275217;25,826582949284848;25,826582949284848
2025-10-15;77244;79,42;4,374750225703106;1;0;12,983177437964821;21,36856607783587;21,36856607783587
2025-10-16;77244;83,94;4,430102257905445;0;0;8,868596182722841;14,436221359545637;14,436221359545637
2025-10-17;77244;85,04;4,443121734033692;0;0;8,467442304698416;13,598245720124716;13,598245720124716
2025-10-18;77244;80,64;4,3899948043230586;0;0;10,22780698610192;16,755086623132545;16,755086623132545
2025-10-19;77244;77,84;4,354655437877749;0;0;11,597063470870058;19,22996161673367;19,22996161673367
2025-10-20;77244;78,04;4,357221515754911;0;0;11,49174283887262;18,952041501809607;18,952041501809607
2025-10-21;77244;78,69;4,365516082546892;0;1;14,041530166172414;21,12899071079872;21,12899071079872
2025-10-22;77244;79,2;4,37197629882038;1;0;13,111852517369393;20,814724393491034;20,814724393491034
2025-10-23;77244;78,24;4,359781025726562;0;0;11,387644601131107;18,595704234491638;18,595704234491638
2025-10-24;77244;76,02;4,330996463561102;0;0;12,614746100085915;20,846824330849365;20,846824330849365
2025-10-25;77244;75,24;4,32068300443283;0;0;13,08588022258568;21,69788436642293;21,69788436642293
2025-10-26;77244;74,25;4,307437777682809;0;0;13,716842242371332;22,859045700109533;22,859045700109533
